Year,Universe,Departments and Agencies,Employees
2011,CPA,Public Safety Canada,1127
2011,CPA,Public Servants Disclosure Protection Tribunal Canada,4
2011,CPA,Public Service Commission of Canada,996
2011,CPA,Public Service Staffing Tribunal,40
2011,CPA,Public Services and Procurement Canada,14385
2011,CPA,RCMP External Review Committee,4
2011,CPA,Registrar of the Supreme Court of Canada,210
2011,CPA,Registry of the Specific Claims Tribunal of Canada,9
2011,CPA,Royal Canadian Mounted Police (Civilian Staff),6147
2011,CPA,Statistics Canada,6424
2011,CPA,Status of Women Canada,102
2011,CPA,Transport Canada,5553
2011,CPA,Transportation Appeal Tribunal of Canada,9
2011,CPA,Transportation Safety Board of Canada,211
2011,CPA,Treasury Board of Canada Secretariat,2177
2011,CPA,Veterans Affairs Canada,4089
2011,CPA,Western Economic Diversification Canada,479
2011,SA,Canada Revenue Agency,41853
2011,SA,Canadian Food Inspection Agency,6688
2011,SA,Canadian Institutes of Health Research,463
2011,SA,Canadian Nuclear Safety Commission,872
2011,SA,Canadian Polar Commission,5
2011,SA,Communications Security Establishment,1871
2011,SA,Financial Consumer Agency of Canada,61
2011,SA,Financial Transactions and Reports Analysis Centre of Canada,340
2011,SA,Indian Oil and Gas Canada,77
2011,SA,National Energy Board,389
2011,SA,National Film Board,407
2011,SA,National Research Council Canada,4261
2011,SA,National Round Table on the Environment and the Economy,31
2011,SA,Northern Pipeline Agency,2
2011,SA,Office of the Auditor General of Canada,660
2011,SA,Office of the Superintendent of Financial Institutions Canada,562
2011,SA,Parks Canada,4127
2011,SA,Public Service Labour Relations Board,88
2011,SA,Science and Engineering Research Canada,428
2011,SA,Security Intelligence Review Committee,15
2011,SA,Social Sciences and Humanities Research Council of Canada,216
2011,SA,Statistical Survey Operations,1681
2011,SA,The Correctional Investigator Canada,31
2012,CPA,Agriculture and Agri-Food Canada,6644
2012,CPA,Assisted Human Reproduction Canada,14
2012,CPA,Atlantic Canada Opportunities Agency,677
2012,CPA,Canada Border Services Agency,14710
2012,CPA,Canada Industrial Relations Board,89
2012,CPA,Canada School of Public Service,915
2012,CPA,Canadian Artists and Producers Professional Relations Tribunal,10
2012,CPA,Canadian Dairy Commission,63
2012,CPA,Canadian Environmental Assessment Agency,240
2012,CPA,Canadian Grain Commission,680
2012,CPA,Canadian Heritage,1981
2012,CPA,Canadian Human Rights Commission,209
2012,CPA,Canadian Intergovernmental Conference Secretariat,21
2012,CPA,Canadian International Trade Tribunal,77
2012,CPA,Canadian Radio-television and Telecommunications Commission,451
2012,CPA,Canadian Space Agency,755
2012,CPA,Canadian Transportation Agency,250
2012,CPA,Civilian Review and Complaints Commission for the RCMP,55
2012,CPA,Competition Bureau Canada,8
2012,CPA,Copyright Board Canada,14
2012,CPA,Correctional Service Canada,19012
2012,CPA,Courts Administration Service,660
2012,CPA,Department of Finance Canada,781
2012,CPA,Department of Justice Canada,5130
2012,CPA,Economic Development Agency of Canada for the Regions of Quebec,401
2012,CPA,Elections Canada,528
2012,CPA,Employment and Social Development Canada,22756
2012,CPA,Environment and Climate Change Canada,6762
2012,CPA,Farm Products Council of Canada,16
2012,CPA,Federal Economic Development Agency for Southern Ontario,225
2012,CPA,Federal Judges not part of any department,1105
2012,CPA,Fisheries and Oceans Canada,10923
2012,CPA,Global Affairs Canada,6702
2012,CPA,Hazardous Materials Information Review Commission Canada,40
2012,CPA,Health Canada,10578
2012,CPA,Human Rights Tribunal of Canada,20
2012,CPA,Immigration and Refugee Board of Canada,1060
2012,CPA,"Immigration, Refugees and Citizenship Canada",5017
2012,CPA,Indian Residential Schools Truth and Reconciliation Commission,47
2012,CPA,Indigenous and Northern Affairs Canada,5409
2012,CPA,Infrastructure Canada,348
2012,CPA,"Innovation, Science and Economic Development Canada",5233
2012,CPA,International Joint Commission,28
2012,CPA,Library and Archives Canada,1145
2012,CPA,Military Grievances External Review Committee,36
2012,CPA,Military Police Complaints Commission of Canada,16
2012,CPA,National Defence,27177
2012,CPA,Natural Resources Canada,4659
2012,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,66
2012,CPA,Office of the Commissioner of Lobbying of Canada,28
2012,CPA,Office of the Commissioner of Official Languages,165
2012,CPA,Office of the Governor General's Secretary,166
2012,CPA,Office of the Public Sector Integrity Commissioner of Canada,30
2012,CPA,Offices of the information and Privacy Commissioners of Canada,273
2012,CPA,Parole Board of Canada,428
2012,CPA,Passport Canada,2696
2012,CPA,Patented Medicine Prices Review Board Canada,56
2012,CPA,Privy Council Office,892
2012,CPA,Public Health Agency of Canada,2779
2012,CPA,Public Prosecution Service of Canada,930
2012,CPA,Public Safety Canada,1113
2012,CPA,Public Servants Disclosure Protection Tribunal Canada,7
2012,CPA,Public Service Commission of Canada,975
2012,CPA,Public Service Staffing Tribunal,38
2012,CPA,Public Services and Procurement Canada,13678
2012,CPA,RCMP External Review Committee,3
2012,CPA,Registrar of the Supreme Court of Canada,226
2012,CPA,Registry of the Specific Claims Tribunal of Canada,11
2012,CPA,Royal Canadian Mounted Police (Civilian Staff),6210
2012,CPA,Statistics Canada,5556
2012,CPA,Status of Women Canada,98
2012,CPA,Transport Canada,5370
2012,CPA,Transportation Appeal Tribunal of Canada,10
2012,CPA,Transportation Safety Board of Canada,216
2012,CPA,Treasury Board of Canada Secretariat,2073
2012,CPA,Veterans Affairs Canada,3839
2012,CPA,Western Economic Diversification Canada,419
2012,SA,Canada Revenue Agency,42668
2012,SA,Canadian Food Inspection Agency,6580
2012,SA,Canadian Institutes of Health Research,424
2012,SA,Canadian Nuclear Safety Commission,864
2012,SA,Canadian Polar Commission,4
2012,SA,Communications Security Establishment,1985
2012,SA,Financial Consumer Agency of Canada,68
2012,SA,Financial Transactions and Reports Analysis Centre of Canada,376
2012,SA,Indian Oil and Gas Canada,79
2012,SA,National Energy Board,396
2012,SA,National Film Board,425
2012,SA,National Research Council Canada,3945
2012,SA,National Round Table on the Environment and the Economy,32
2012,SA,Office of the Auditor General of Canada,653
2012,SA,Office of the Superintendent of Financial Institutions Canada,603
2012,SA,Parks Canada,3821
2012,SA,Public Service Labour Relations Board,88
2012,SA,Science and Engineering Research Canada,424
2012,SA,Security Intelligence Review Committee,17
2012,SA,Social Sciences and Humanities Research Council of Canada,213
2012,SA,Statistical Survey Operations,2371
2012,SA,The Correctional Investigator Canada,28
2013,CPA,Agriculture and Agri-Food Canada,5991
2013,CPA,Atlantic Canada Opportunities Agency,590
2013,CPA,Canada Border Services Agency,14218
2013,CPA,Canada Industrial Relations Board,91
2013,CPA,Canada School of Public Service,657
2013,CPA,Canadian Artists and Producers Professional Relations Tribunal,3
2013,CPA,Canadian Dairy Commission,59
2013,CPA,Canadian Environmental Assessment Agency,219
2013,CPA,Canadian Grain Commission,625
2013,CPA,Canadian Heritage,1753
2013,CPA,Canadian Human Rights Commission,215
2013,CPA,Canadian Intergovernmental Conference Secretariat,23
2013,CPA,Canadian International Trade Tribunal,73
2013,CPA,Canadian Radio-television and Telecommunications Commission,444
2013,CPA,Canadian Space Agency,663
2013,CPA,Canadian Transportation Agency,244
2013,CPA,Civilian Review and Complaints Commission for the RCMP,60
2013,CPA,Competition Bureau Canada,9
2013,CPA,Copyright Board Canada,15
2013,CPA,Correctional Service Canada,18501
2013,CPA,Courts Administration Service,623
2013,CPA,Department of Finance Canada,756
2013,CPA,Department of Justice Canada,4725
2013,CPA,Economic Development Agency of Canada for the Regions of Quebec,339
2013,CPA,Elections Canada,495
2013,CPA,Employment and Social Development Canada,20046
2013,CPA,Environment and Climate Change Canada,6408
2013,CPA,Farm Products Council of Canada,16
2013,CPA,Federal Economic Development Agency for Southern Ontario,218
2013,CPA,Federal Judges not part of any department,1100
2013,CPA,Fisheries and Oceans Canada,10294
2013,CPA,Global Affairs Canada,6168
2013,CPA,Hazardous Materials Information Review Commission Canada,31
2013,CPA,Health Canada,9701
2013,CPA,Human Rights Tribunal of Canada,21
2013,CPA,Immigration and Refugee Board of Canada,1034
2013,CPA,"Immigration, Refugees and Citizenship Canada",4850
2013,CPA,Indian Residential Schools Truth and Reconciliation Commission,25
2013,CPA,Indigenous and Northern Affairs Canada,4975
2013,CPA,Infrastructure Canada,308
2013,CPA,"Innovation, Science and Economic Development Canada",4773
2013,CPA,International Joint Commission,32
2013,CPA,Library and Archives Canada,913
2013,CPA,Military Grievances External Review Committee,38
2013,CPA,Military Police Complaints Commission of Canada,18
2013,CPA,National Defence,24939
2013,CPA,Natural Resources Canada,4361
2013,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,67
2013,CPA,Office of the Commissioner of Lobbying of Canada,26
2013,CPA,Office of the Commissioner of Official Languages,162
2013,CPA,Office of the Governor General's Secretary,158
2013,CPA,Office of the Public Sector Integrity Commissioner of Canada,31
2013,CPA,Offices of the information and Privacy Commissioners of Canada,258
2013,CPA,Parole Board of Canada,454
2013,CPA,Passport Canada,2696
2013,CPA,Patented Medicine Prices Review Board Canada,53
2013,CPA,Privy Council Office,754
2013,CPA,Public Health Agency of Canada,2163
2013,CPA,Public Prosecution Service of Canada,954
2013,CPA,Public Safety Canada,1112
2013,CPA,Public Servants Disclosure Protection Tribunal Canada,9
2013,CPA,Public Service Commission of Canada,865
2013,CPA,Public Service Staffing Tribunal,32
2013,CPA,Public Services and Procurement Canada,12144
2013,CPA,RCMP External Review Committee,6
2013,CPA,Registrar of the Supreme Court of Canada,216
2013,CPA,Registry of the Specific Claims Tribunal of Canada,10
2013,CPA,Royal Canadian Mounted Police (Civilian Staff),5971
2013,CPA,Shared Services Canada,5299
2013,CPA,Statistics Canada,4530
2013,CPA,Status of Women Canada,100
2013,CPA,Transport Canada,4778
2013,CPA,Transportation Appeal Tribunal of Canada,9
2013,CPA,Transportation Safety Board of Canada,202
2013,CPA,Treasury Board of Canada Secretariat,1860
2013,CPA,Veterans Affairs Canada,3602
2013,CPA,Western Economic Diversification Canada,335
2013,SA,Canada Revenue Agency,41256
2013,SA,Canadian Food Inspection Agency,6254
2013,SA,Canadian Institutes of Health Research,394
2013,SA,Canadian Nuclear Safety Commission,856
2013,SA,Canadian Polar Commission,9
2013,SA,Communications Security Establishment,2075
2013,SA,Financial Consumer Agency of Canada,73
2013,SA,Financial Transactions and Reports Analysis Centre of Canada,374
2013,SA,Indian Oil and Gas Canada,84
2013,SA,National Energy Board,409
2013,SA,National Film Board,466
2013,SA,National Research Council Canada,3525
2013,SA,National Round Table on the Environment and the Economy,3
2013,SA,Office of the Auditor General of Canada,611
2013,SA,Office of the Superintendent of Financial Institutions Canada,638
2013,SA,Parks Canada,2923
2013,SA,Public Service Labour Relations Board,96
2013,SA,Science and Engineering Research Canada,407
2013,SA,Security Intelligence Review Committee,15
2013,SA,Social Sciences and Humanities Research Council of Canada,199
2013,SA,Statistical Survey Operations,1601
2013,SA,The Correctional Investigator Canada,33
2014,CPA,Agriculture and Agri-Food Canada,5291
2014,CPA,Atlantic Canada Opportunities Agency,591
2014,CPA,Canada Border Services Agency,14096
2014,CPA,Canada Industrial Relations Board,88
2014,CPA,Canada School of Public Service,625
2014,CPA,Canadian Dairy Commission,51
2014,CPA,Canadian Environmental Assessment Agency,230
2014,CPA,Canadian Grain Commission,413
2014,CPA,Canadian Heritage,1821
2014,CPA,Canadian Human Rights Commission,199
2014,CPA,Canadian Intergovernmental Conference Secretariat,24
2014,CPA,Canadian International Trade Tribunal,77
2014,CPA,Canadian Radio-television and Telecommunications Commission,435
2014,CPA,Canadian Space Agency,621
2014,CPA,Canadian Transportation Agency,218
2014,CPA,Civilian Review and Complaints Commission for the RCMP,65
2014,CPA,Competition Bureau Canada,7
2014,CPA,Copyright Board Canada,13
2014,CPA,Correctional Service Canada,18259
2014,CPA,Courts Administration Service,614
2014,CPA,Department of Finance Canada,751
2014,CPA,Department of Justice Canada,4574
2014,CPA,Economic Development Agency of Canada for the Regions of Quebec,348
2014,CPA,Elections Canada,520
2014,CPA,Employment and Social Development Canada,21097
2014,CPA,Environment and Climate Change Canada,6550
2014,CPA,Farm Products Council of Canada,17
2014,CPA,Federal Economic Development Agency for Southern Ontario,224
2014,CPA,Federal Judges not part of any department,1110
2014,CPA,Fisheries and Oceans Canada,9958
2014,CPA,Global Affairs Canada,6027
2014,CPA,Health Canada,9341
2014,CPA,Human Rights Tribunal of Canada,20
2014,CPA,Immigration and Refugee Board of Canada,983
2014,CPA,"Immigration, Refugees and Citizenship Canada",5927
2014,CPA,Indian Residential Schools Truth and Reconciliation Commission,15
2014,CPA,Indigenous and Northern Affairs Canada,4857
2014,CPA,Infrastructure Canada,288
2014,CPA,"Innovation, Science and Economic Development Canada",4711
2014,CPA,International Joint Commission,31
2014,CPA,Library and Archives Canada,1043
2014,CPA,Military Grievances External Review Committee,37
2014,CPA,Military Police Complaints Commission of Canada,14
2014,CPA,National Defence,23146
2014,CPA,Natural Resources Canada,4231
2014,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,58
2014,CPA,Office of the Commissioner of Lobbying of Canada,26
2014,CPA,Office of the Commissioner of Official Languages,171
2014,CPA,Office of the Governor General's Secretary,155
2014,CPA,Office of the Public Sector Integrity Commissioner of Canada,28
2014,CPA,Offices of the information and Privacy Commissioners of Canada,261
2014,CPA,Parole Board of Canada,459
2014,CPA,Patented Medicine Prices Review Board Canada,55
2014,CPA,Privy Council Office,751
2014,CPA,Public Health Agency of Canada,2175
2014,CPA,Public Prosecution Service of Canada,969
2014,CPA,Public Safety Canada,1057
2014,CPA,Public Servants Disclosure Protection Tribunal Canada,9
2014,CPA,Public Service Commission of Canada,736
2014,CPA,Public Service Staffing Tribunal,31
2014,CPA,Public Services and Procurement Canada,11967
2014,CPA,RCMP External Review Committee,5
2014,CPA,Registrar of the Supreme Court of Canada,219
2014,CPA,Registry of the Specific Claims Tribunal of Canada,9
2014,CPA,Royal Canadian Mounted Police (Civilian Staff),6065
2014,CPA,Shared Services Canada,5394
2014,CPA,Statistics Canada,4807
2014,CPA,Status of Women Canada,98
2014,CPA,Transport Canada,4771
2014,CPA,Transportation Appeal Tribunal of Canada,9
2014,CPA,Transportation Safety Board of Canada,203
2014,CPA,Treasury Board of Canada Secretariat,1778
2014,CPA,Veterans Affairs Canada,3188
2014,CPA,Western Economic Diversification Canada,318
2014,SA,Canada Revenue Agency,40279
2014,SA,Canadian Food Inspection Agency,6315
2014,SA,Canadian Institutes of Health Research,412
2014,SA,Canadian Nuclear Safety Commission,821
2014,SA,Canadian Polar Commission,11
2014,SA,Communications Security Establishment,2171
2014,SA,Financial Consumer Agency of Canada,78
2014,SA,Financial Transactions and Reports Analysis Centre of Canada,347
2014,SA,Indian Oil and Gas Canada,85
2014,SA,National Energy Board,435
2014,SA,National Film Board,420
2014,SA,National Research Council Canada,3534
2014,SA,Office of the Auditor General of Canada,581
2014,SA,Office of the Superintendent of Financial Institutions Canada,684
2014,SA,Parks Canada,3175
2014,SA,Public Service Labour Relations Board,91
2014,SA,Science and Engineering Research Canada,409
2014,SA,Security Intelligence Review Committee,16
2014,SA,Social Sciences and Humanities Research Council of Canada,205
2014,SA,Statistical Survey Operations,1699
2014,SA,The Correctional Investigator Canada,40
2015,CPA,Administrative Tribunals Support Service of Canada,349
2015,CPA,Agriculture and Agri-Food Canada,5194
2015,CPA,Atlantic Canada Opportunities Agency,604
2015,CPA,Canada Border Services Agency,14113
2015,CPA,Canada School of Public Service,646
2015,CPA,Canadian Dairy Commission,56
2015,CPA,Canadian Environmental Assessment Agency,229
2015,CPA,Canadian Grain Commission,408
2015,CPA,Canadian Heritage,1773
2015,CPA,Canadian Human Rights Commission,204
2015,CPA,Canadian Intergovernmental Conference Secretariat,23
2015,CPA,Canadian Northern Economic Development Agency,75
2015,CPA,Canadian Radio-television and Telecommunications Commission,462
2015,CPA,Canadian Space Agency,600
2015,CPA,Canadian Transportation Agency,241
2015,CPA,Civilian Review and Complaints Commission for the RCMP,74
2015,CPA,Copyright Board Canada,17
2015,CPA,Correctional Service Canada,17639
2015,CPA,Courts Administration Service,618
